mysql> select * from account;
+----------------+-------------+---------+
| account_number | branch_name | balance |
| A-1000054      | North Town  |    7109 |
| A-1000055      | North Town  |    5837 |
| A-1000056      | Redwood     |    6566 |
| A-1000057      | Pownal      |    1506 |
| A-1000058      | North Town  |    1754 |
| A-1000059      | Perryridge  |    8153 |
| A-1000060      | Brighton    |    3448 |
| A-1000061      | Mianus      |    3910 |
| A-1000062      | Round Hill  |    7333 |
| A-1000063      | Redwood     |     497 |
| A-1000064      | Pownal      |    6311 |
| A-1000065      | Pownal      |    8919 |
| A-1000066      | Downtown    |    4082 |
| A-1000067      | Mianus      |    2723 |
| A-1000068      | Mianus      |    7454 |
| A-1000069      | Mianus      |    4686 |
| A-1000070      | Redwood     |    5588 |
| A-1000071      | Round Hill  |    7353 |
| A-1000072      | Downtown    |    3932 |
| A-1000073      | Pownal      |    6737 |
| A-1000074      | Brighton    |    2369 |
| A-1000075      | Round Hill  |    8908 |
| A-1000076      | North Town  |    8924 |
| A-1000077      | Downtown    |    8660 |
| A-1000078      | Pownal      |    1820 |
| A-1000079      | Pownal      |    4331 |
| A-1000080      | North Town  |    5372 |
| A-1000081      | Round Hill  |    6265 |
| A-1000082      | Redwood     |    8649 |
| A-1000083      | Round Hill  |    1288 |
| A-1000084      | Redwood     |    4581 |
| A-1000085      | North Town  |    4322 |
| A-1000086      | Round Hill  |    9261 |
| A-1000087      | Redwood     |    6772 |
| A-1000088      | Redwood     |     667 |
| A-1000089      | Redwood     |    6034 |
| A-1000090      | Downtown    |    6248 |
| A-1000091      | Downtown    |    6272 |
| A-1000092      | North Town  |    3927 |
| A-1000093      | Perryridge  |     190 |
| A-1000094      | Mianus      |    4706 |
| A-1000095      | Mianus      |    8287 |
| A-1000096      | Mianus      |    8938 |
| A-1000097      | Redwood     |    2356 |
| A-1000098      | Downtown    |    4753 |
| A-1000099      | Downtown    |    1522 |
| A-1000100      | North Town  |    5192 |
| A-1000101      | Redwood     |     821 |
| A-1000102      | Redwood     |    7603 |
| A-1000103      | Downtown    |    6441 |
| A-1000104      | Perryridge  |    9503 |
| A-1000105      | Downtown    |    9256 |
| A-1000106      | Round Hill  |    8350 |
| A-1000107      | Brighton    |    2754 |
| A-1000108      | Perryridge  |    9433 |
| A-1000109      | Redwood     |     219 |
| A-1000110      | Perryridge  |    7976 |
| A-1000111      | Downtown    |    6085 |
| A-1000112      | Downtown    |    3642 |
| A-1000113      | Brighton    |    2044 |
| A-1000114      | Pownal      |    2210 |
| A-1000115      | Perryridge  |    9542 |
| A-1000116      | Mianus      |    5821 |
| A-1000117      | North Town  |     910 |
| A-1000118      | Mianus      |    1131 |
| A-1000119      | Round Hill  |    4634 |
| A-1000120      | Downtown    |    1369 |
| A-1000121      | North Town  |    8788 |
| A-1000122      | Perryridge  |    9019 |
| A-1000123      | Round Hill  |    1508 |
| A-1000124      | Perryridge  |    9538 |
| A-1000125      | Downtown    |    4999 |
| A-1000126      | Brighton    |    8309 |
| A-1000127      | Pownal      |    8432 |
| A-1000128      | Mianus      |    9653 |
| A-1000129      | Redwood     |    7282 |
| A-1000130      | North Town  |    1580 |
| A-1000131      | Round Hill  |     397 |
| A-1000132      | Downtown    |    8364 |
| A-1000133      | North Town  |    1225 |
| A-1000134      | Perryridge  |    5313 |
| A-1000135      | Brighton    |    6110 |
| A-1000136      | Brighton    |    9357 |
| A-1000137      | Downtown    |    1783 |
| A-1000138      | Round Hill  |    1706 |
| A-1000139      | Mianus      |    4312 |
| A-1000140      | North Town  |    2491 |
| A-1000141      | Mianus      |    7898 |
| A-1000142      | Perryridge  |    8824 |
| A-1000143      | Round Hill  |    8263 |
| A-1000144      | Brighton    |    2776 |
| A-1000145      | Round Hill  |    2555 |
| A-1000146      | Perryridge  |    7688 |
| A-1000147      | Redwood     |    6471 |
| A-1000148      | Round Hill  |    5039 |
| A-1000149      | Perryridge  |    3947 |
| A-1000150      | North Town  |    6355 |
| A-1000151      | Redwood     |    5216 |
| A-1000152      | Pownal      |    4614 |
| A-1000153      | North Town  |    6865 |
| A-1000154      | Round Hill  |    8352 |
| A-1000155      | Round Hill  |    8278 |
| A-1000156      | Brighton    |    6561 |
| A-1000157      | Pownal      |    7773 |
| A-1000158      | Round Hill  |    6521 |
| A-1000159      | Mianus      |    7308 |
| A-1000160      | Perryridge  |    5147 |
| A-1000161      | Downtown    |    2009 |
| A-1000162      | Brighton    |    7163 |
| A-1000163      | Round Hill  |    6481 |
| A-1000164      | Downtown    |    9218 |
| A-1000165      | Redwood     |    3702 |
| A-1000166      | Perryridge  |    4342 |
| A-1000167      | Mianus      |    4064 |
| A-1000168      | North Town  |    2360 |
| A-1000169      | Pownal      |    9276 |
| A-1000170      | Redwood     |    2080 |
| A-1000171      | Brighton    |    9000 |
| A-1000172      | Perryridge  |    7729 |
| A-1000173      | Downtown    |    8555 |
| A-1000174      | Perryridge  |    3902 |
| A-1000175      | Redwood     |     820 |
| A-1000176      | Perryridge  |    7098 |
| A-1000177      | Perryridge  |     843 |
| A-1000178      | Round Hill  |    5834 |
| A-1000179      | Brighton    |    7074 |
| A-1000180      | Mianus      |    1977 |
| A-1000181      | Round Hill  |    5450 |
| A-1000182      | Mianus      |    2215 |
| A-1000183      | Mianus      |    3347 |
| A-1000184      | Perryridge  |    5501 |
| A-1000185      | Round Hill  |    2684 |
| A-1000186      | Redwood     |    8019 |
| A-1000187      | Brighton    |    1592 |
| A-1000188      | Pownal      |    3811 |
| A-1000189      | Round Hill  |    5125 |
| A-1000190      | Round Hill  |    2341 |
| A-1000191      | Round Hill  |    8074 |
| A-1000192      | Round Hill  |    6622 |
| A-1000193      | Mianus      |     644 |
| A-1000194      | Pownal      |    2794 |
| A-1000195      | Perryridge  |    1737 |
| A-1000196      | Pownal      |    7834 |
| A-1000197      | North Town  |    3100 |
| A-1000198      | Downtown    |    5514 |
| A-1000199      | North Town  |    2195 |
| A-1000200      | Redwood     |    4609 |
| A-1000201      | Brighton    |    3944 |
| A-1000202      | Downtown    |    9783 |
| A-1000203      | Pownal      |    2024 |
| A-1000204      | Downtown    |      35 |
| A-1000205      | Pownal      |    2130 |
| A-1000206      | Downtown    |    2412 |
| A-1000207      | Pownal      |    2194 |
| A-1000208      | Pownal      |    8513 |
| A-1000209      | Perryridge  |    8234 |
| A-1000210      | Redwood     |    8311 |
| A-1000211      | Mianus      |    7048 |
| A-1000212      | Downtown    |    1737 |
| A-1000213      | Pownal      |    1557 |
| A-1000214      | Pownal      |    3271 |
| A-1000215      | Perryridge  |    1728 |
| A-1000216      | Downtown    |    3165 |
| A-1000217      | Redwood     |    6273 |
| A-1000218      | Round Hill  |    9972 |
| A-1000219      | Brighton    |    1578 |
| A-1000220      | Perryridge  |    1200 |
| A-1000221      | Perryridge  |    2330 |
| A-1000222      | North Town  |    4071 |
| A-1000223      | Pownal      |    8627 |
| A-1000224      | Perryridge  |    2108 |
| A-1000225      | Downtown    |    1706 |
| A-1000226      | Pownal      |     111 |
| A-1000227      | Pownal      |    3859 |
| A-1000228      | Downtown    |    8624 |
| A-1000229      | Pownal      |    2126 |
| A-1000230      | Mianus      |    3225 |
| A-1000231      | North Town  |    2197 |
| A-1000232      | Perryridge  |    7642 |
| A-1000233      | Round Hill  |    6584 |
| A-1000234      | North Town  |    6766 |
| A-1000235      | Pownal      |      32 |
| A-1000236      | Round Hill  |    1917 |
| A-1000237      | North Town  |    1013 |
| A-1000238      | North Town  |    9638 |
| A-1000239      | Downtown    |    9502 |
| A-1000240      | North Town  |    8260 |
| A-1000241      | North Town  |    9243 |
| A-1000242      | Downtown    |     288 |
| A-1000243      | Round Hill  |    2726 |
| A-1000244      | Redwood     |     781 |
| A-1000245      | Mianus      |    3846 |
| A-1000246      | Mianus      |    6198 |
| A-1000247      | Round Hill  |    1038 |
| A-1000248      | Mianus      |     558 |
| A-1000249      | Pownal      |    9144 |
| A-1000250      | Downtown    |    9317 |
| A-1000251      | Round Hill  |    9425 |
| A-1000252      | Round Hill  |    8456 |
| A-1000253      | Brighton    |    2058 |
| A-1000254      | North Town  |    5279 |
| A-1000255      | North Town  |    1025 |
| A-1000256      | Brighton    |    3652 |
| A-1000257      | Redwood     |    8021 |
| A-1000258      | Redwood     |    6670 |
| A-1000259      | Mianus      |    6303 |
| A-1000260      | Redwood     |    8399 |
| A-1000261      | Round Hill  |    8609 |
| A-1000262      | Perryridge  |    8442 |
| A-1000263      | Redwood     |    3306 |
| A-1000264      | Downtown    |    1918 |
| A-1000265      | Mianus      |    3593 |
| A-1000266      | Downtown    |    8884 |
| A-1000267      | North Town  |    2325 |
| A-1000268      | Downtown    |    8658 |
| A-1000269      | Brighton    |    5851 |
| A-1000270      | Redwood     |    1008 |
| A-1000271      | Redwood     |    8384 |
| A-1000272      | Redwood     |     349 |
| A-1000273      | North Town  |    1244 |
| A-1000274      | Pownal      |    6620 |
| A-1000275      | Round Hill  |     894 |
| A-1000276      | Downtown    |    9257 |
| A-1000277      | Pownal      |    6516 |
| A-1000278      | Brighton    |    5894 |
| A-1000279      | Downtown    |    4320 |
| A-1000280      | Pownal      |    1440 |
| A-1000281      | Pownal      |    9021 |
| A-1000282      | Brighton    |    3000 |
| A-1000283      | Downtown    |    5038 |
| A-1000284      | Redwood     |    6714 |
| A-1000285      | Mianus      |    9233 |
| A-1000286      | Redwood     |    8613 |
| A-1000287      | Pownal      |    9955 |
| A-1000288      | Perryridge  |    9637 |
| A-1000289      | Brighton    |    1393 |
| A-1000290      | North Town  |    6791 |
| A-1000291      | Round Hill  |     294 |
| A-1000292      | Redwood     |    1074 |
| A-1000293      | Pownal      |    6451 |
| A-1000294      | Perryridge  |    9415 |
| A-1000295      | Round Hill  |    8632 |
| A-1000296      | Downtown    |    7265 |
| A-1000297      | Perryridge  |    9206 |
| A-1000298      | Pownal      |    1586 |
| A-1000299      | Mianus      |    2231 |
| A-1000300      | Perryridge  |    6412 |
| A-1000301      | North Town  |    2921 |
| A-1000302      | Brighton    |    2434 |
| A-1000303      | Perryridge  |     795 |
| A-1000304      | Brighton    |     201 |
| A-1000305      | Round Hill  |    8818 |
| A-1000306      | Downtown    |    3529 |
| A-1000307      | North Town  |    7429 |
| A-1000308      | North Town  |    5784 |
| A-1000309      | Round Hill  |    4870 |
| A-1000310      | Round Hill  |    7830 |
| A-1000311      | Redwood     |    1247 |
| A-1000312      | Brighton    |    6043 |
| A-1000313      | Mianus      |    6715 |
| A-1000314      | Downtown    |    1434 |
| A-1000315      | Redwood     |    6760 |
| A-1000316      | Pownal      |    2961 |
| A-1000317      | North Town  |    3200 |
| A-1000318      | Brighton    |    4468 |
| A-1000319      | Brighton    |    5036 |
| A-1000320      | Mianus      |    8785 |
| A-1000321      | Pownal      |    8566 |
| A-1000322      | Pownal      |    7558 |
| A-1000323      | Downtown    |    5686 |
| A-1000324      | Mianus      |     496 |
| A-1000325      | Brighton    |    4595 |
| A-1000326      | Downtown    |    7443 |
| A-1000327      | Redwood     |    1887 |
| A-1000328      | Brighton    |    5209 |
| A-1000329      | North Town  |    5744 |
| A-1000330      | Downtown    |    6825 |
| A-1000331      | Downtown    |    4530 |
| A-1000332      | North Town  |    2626 |
| A-1000333      | Downtown    |    3717 |
| A-1000334      | Pownal      |    1191 |
| A-1000335      | Redwood     |    7212 |
| A-1000336      | Redwood     |    3983 |
| A-1000337      | Round Hill  |    5829 |
| A-1000338      | Redwood     |     572 |
| A-1000339      | Brighton    |    6145 |
| A-1000340      | Redwood     |    6537 |
| A-1000341      | Mianus      |    3447 |
| A-1000342      | Perryridge  |    6594 |
| A-1000343      | Mianus      |    5548 |
| A-1000344      | Brighton    |    9915 |
| A-1000345      | North Town  |    9225 |
| A-1000346      | Redwood     |    2912 |
| A-1000347      | Perryridge  |    8871 |
| A-1000348      | Perryridge  |    8085 |
| A-1000349      | Perryridge  |    3642 |
| A-1000350      | North Town  |    9677 |
| A-1000351      | Mianus      |    7209 |
| A-1000352      | Pownal      |    8257 |
| A-1000353      | Round Hill  |    1644 |
| A-1000354      | Redwood     |    9831 |
| A-1000355      | Perryridge  |    5915 |
| A-1000356      | Mianus      |     791 |
| A-1000357      | Brighton    |    4061 |
| A-1000358      | North Town  |    7255 |
| A-1000359      | North Town  |    8147 |
| A-1000360      | Redwood     |    8482 |
| A-1000361      | North Town  |    3277 |
| A-1000362      | Redwood     |    3383 |
| A-1000363      | Round Hill  |    1279 |
| A-1000364      | Pownal      |    8025 |
| A-1000365      | Pownal      |     362 |
| A-1000366      | Redwood     |    1631 |
| A-1000367      | Brighton    |    3187 |
| A-1000368      | Round Hill  |     718 |
| A-1000369      | Pownal      |     802 |
| A-1000370      | Mianus      |    7445 |
| A-1000371      | Redwood     |    1900 |
| A-1000372      | Round Hill  |    9651 |
| A-1000373      | Mianus      |    3437 |
| A-1000374      | Pownal      |    1240 |
| A-1000375      | Downtown    |    8826 |
| A-1000376      | Perryridge  |    3441 |
| A-1000377      | Round Hill  |    1696 |
| A-1000378      | Round Hill  |    1403 |
| A-1000379      | Brighton    |    4269 |
| A-1000380      | Redwood     |    5248 |
| A-1000381      | Redwood     |    3819 |
| A-1000382      | Pownal      |    7068 |
| A-1000383      | North Town  |    2858 |
| A-1000384      | Brighton    |    9127 |
| A-1000385      | Redwood     |    3522 |
| A-1000386      | Mianus      |    8149 |
| A-1000387      | Brighton    |    1334 |
| A-1000388      | Brighton    |    7363 |
| A-1000389      | Redwood     |    1896 |
| A-1000390      | Downtown    |      16 |
| A-1000391      | Downtown    |    7241 |
| A-1000392      | Downtown    |    2167 |
| A-1000393      | Downtown    |    5984 |
| A-1000394      | Downtown    |    2830 |
| A-1000395      | North Town  |     896 |
| A-1000396      | Perryridge  |    4158 |
| A-1000397      | Perryridge  |    8400 |
| A-1000398      | Redwood     |    4454 |
| A-1000399      | North Town  |     250 |
| A-1000400      | Perryridge  |    8254 |
| A-1000401      | Mianus      |     824 |
| A-1000402      | Pownal      |    1264 |
| A-1000403      | Pownal      |    2655 |
| A-1000404      | Brighton    |    9777 |
| A-1000405      | Pownal      |    3954 |
| A-1000406      | Downtown    |    6385 |
| A-1000407      | North Town  |     798 |
| A-1000408      | Pownal      |    7823 |
| A-1000409      | Perryridge  |    2413 |
| A-1000410      | Redwood     |    4028 |
| A-1000411      | Redwood     |    6792 |
| A-1000412      | Perryridge  |    3783 |
| A-1000413      | Redwood     |    4710 |
| A-1000414      | Brighton    |      98 |
| A-1000415      | Downtown    |     630 |
| A-1000416      | Pownal      |    9825 |
| A-1000417      | Redwood     |    4172 |
| A-1000418      | Redwood     |    6739 |
| A-1000419      | Downtown    |    1235 |
| A-1000420      | Pownal      |    5201 |
| A-1000421      | Downtown    |    3476 |
| A-1000422      | Round Hill  |    7238 |
| A-1000423      | Round Hill  |    5061 |
| A-1000424      | Downtown    |    9907 |
| A-1000425      | North Town  |    3668 |
| A-1000426      | Perryridge  |    4005 |
| A-1000427      | Perryridge  |    1428 |
| A-1000428      | Perryridge  |    9150 |
| A-1000429      | Brighton    |     711 |
| A-1000430      | Round Hill  |    8908 |
| A-1000431      | Perryridge  |    2383 |
| A-1000432      | Redwood     |     745 |
| A-1000433      | North Town  |    1934 |
| A-1000434      | Redwood     |     323 |
| A-1000435      | Mianus      |     539 |
| A-1000436      | Downtown    |    6452 |
| A-1000437      | Round Hill  |    5337 |
| A-1000438      | North Town  |    7872 |
| A-1000439      | Pownal      |    2451 |
| A-1000440      | North Town  |    2717 |
| A-1000441      | Redwood     |    7605 |
| A-1000442      | North Town  |    8517 |
| A-1000443      | Perryridge  |    7346 |
| A-1000444      | Redwood     |    9131 |
| A-1000445      | Downtown    |    5857 |
| A-1000446      | Brighton    |    5998 |
| A-1000447      | Pownal      |    2410 |
| A-1000448      | North Town  |    4177 |
| A-1000449      | Downtown    |     778 |
| A-1000450      | North Town  |    5586 |
| A-1000451      | Downtown    |    7661 |
| A-1000452      | Round Hill  |    5320 |
| A-1000453      | Pownal      |    2236 |
| A-1000454      | Brighton    |    8038 |
| A-1000455      | Mianus      |    9182 |
| A-1000456      | Mianus      |    6938 |
| A-1000457      | Brighton    |    2829 |
| A-1000458      | Brighton    |    8274 |
| A-1000459      | North Town  |    7809 |
| A-1000460      | Brighton    |    9768 |
| A-1000461      | Perryridge  |    5569 |
| A-1000462      | Round Hill  |    4226 |
| A-1000463      | North Town  |     478 |
| A-1000464      | Mianus      |    7847 |
| A-1000465      | Redwood     |    1110 |
| A-1000466      | Pownal      |    3092 |
| A-1000467      | Brighton    |    8099 |
| A-1000468      | Brighton    |    6020 |
| A-1000469      | Pownal      |    2347 |
| A-1000470      | Redwood     |    4388 |
| A-1000471      | North Town  |     355 |
| A-1000472      | Downtown    |    3106 |
| A-1000473      | Perryridge  |    1657 |
| A-1000474      | Brighton    |    7061 |
| A-1000475      | Downtown    |    6155 |
| A-1000476      | Round Hill  |    8404 |
| A-1000477      | Downtown    |    4466 |
| A-1000478      | Brighton    |    2935 |
| A-1000479      | North Town  |    6628 |
| A-1000480      | Downtown    |    5171 |
| A-1000481      | North Town  |    7438 |
| A-1000482      | Perryridge  |    6778 |
| A-1000483      | Redwood     |      67 |
| A-1000484      | North Town  |    5951 |
| A-1000485      | Perryridge  |    9938 |
| A-1000486      | Downtown    |    5594 |
| A-1000487      | Pownal      |    7443 |
| A-1000488      | Downtown    |    5649 |
| A-1000489      | Downtown    |    2623 |
| A-1000490      | North Town  |    4979 |
| A-1000491      | Redwood     |    9830 |
| A-1000492      | Redwood     |    2051 |
| A-1000493      | Mianus      |    2803 |
| A-1000494      | Downtown    |    8563 |
| A-1000495      | Perryridge  |    8873 |
| A-1000496      | Pownal      |    6961 |
| A-1000497      | Round Hill  |    6962 |
| A-1000498      | Mianus      |    7353 |
| A-1000499      | Mianus      |    8695 |
| A-1000500      | Perryridge  |    6740 |
| A-1000501      | Downtown    |    9669 |
| A-1000502      | Brighton    |    6586 |
| A-1000503      | North Town  |    3516 |
| A-1000504      | Pownal      |    7973 |
| A-1000505      | Round Hill  |    2612 |
| A-1000506      | Mianus      |    8397 |
| A-1000507      | Redwood     |    5652 |
| A-1000508      | Downtown    |    2192 |
| A-1000509      | Mianus      |     333 |
| A-1000510      | Perryridge  |    1132 |
| A-1000511      | Downtown    |    5096 |
| A-1000512      | Pownal      |    5074 |
| A-1000513      | Mianus      |    2373 |
| A-1000514      | Perryridge  |     100 |
| A-1000515      | Mianus      |    3546 |
| A-1000516      | Brighton    |    5572 |
| A-1000517      | Brighton    |    2680 |
| A-1000518      | Pownal      |    2258 |
| A-1000519      | Round Hill  |       6 |
| A-1000520      | Mianus      |     216 |
| A-1000521      | North Town  |    8128 |
| A-1000522      | Brighton    |    6164 |
| A-1000523      | Round Hill  |    8005 |
| A-1000524      | North Town  |    5451 |
| A-1000525      | North Town  |    8448 |
| A-1000526      | Round Hill  |    8097 |
| A-1000527      | Redwood     |    3288 |
| A-1000528      | Redwood     |    5814 |
| A-1000529      | Downtown    |    1272 |
| A-1000530      | Downtown    |    4429 |
| A-1000531      | Round Hill  |    2000 |
| A-1000532      | Mianus      |    8743 |
| A-1000533      | North Town  |    7607 |
| A-1000534      | Redwood     |    4752 |
| A-1000535      | Round Hill  |    6523 |
| A-1000536      | Mianus      |    2132 |
| A-1000537      | Brighton    |    1739 |
| A-1000538      | Pownal      |    6242 |
| A-1000539      | Pownal      |    1141 |
| A-1000540      | Perryridge  |    9440 |
| A-1000541      | Downtown    |    3160 |
| A-1000542      | Perryridge  |    5449 |
| A-1000543      | Downtown    |    9705 |
| A-1000544      | North Town  |    3120 |
| A-1000545      | Pownal      |    7541 |
| A-1000546      | Round Hill  |    3926 |
| A-1000547      | Redwood     |    2380 |
| A-1000548      | Redwood     |    1814 |
| A-1000549      | Perryridge  |    8354 |
| A-1000550      | Redwood     |    7435 |
| A-1000551      | Brighton    |     415 |
| A-1000552      | Downtown    |     243 |
| A-1000553      | Redwood     |    7039 |
| A-1000554      | Downtown    |    5171 |
| A-1000555      | Perryridge  |     586 |
| A-1000556      | Brighton    |    1043 |
| A-1000557      | Downtown    |    7466 |
| A-1000558      | Downtown    |    7658 |
| A-1000559      | North Town  |    6025 |
| A-1000560      | Mianus      |    6858 |
| A-1000561      | Round Hill  |    2194 |
| A-1000562      | Redwood     |    2460 |
| A-1000563      | Redwood     |    1890 |
| A-1000564      | Perryridge  |    2206 |
| A-1000565      | Downtown    |    2797 |
| A-1000566      | Redwood     |    2657 |
| A-1000567      | Brighton    |    6704 |
| A-1000568      | Perryridge  |    9962 |
| A-1000569      | Pownal      |    8899 |
| A-1000570      | Round Hill  |    6884 |
| A-1000571      | Redwood     |    9718 |
| A-1000572      | North Town  |    1400 |
| A-1000573      | Mianus      |    1613 |
| A-1000574      | Downtown    |    4573 |
| A-1000575      | North Town  |    1859 |
| A-1000576      | North Town  |    1943 |
| A-1000577      | North Town  |    6249 |
| A-1000578      | Redwood     |    9170 |
| A-1000579      | Mianus      |    6827 |
| A-1000580      | Round Hill  |    5472 |
| A-1000581      | Redwood     |    5610 |
| A-1000582      | Downtown    |    4951 |
| A-1000583      | North Town  |    2037 |
| A-1000584      | Pownal      |    5683 |
| A-1000585      | Perryridge  |    1560 |
| A-1000586      | Redwood     |    7283 |
| A-1000587      | Pownal      |    4079 |
| A-1000588      | Pownal      |    8633 |
| A-1000589      | Round Hill  |    3547 |
| A-1000590      | North Town  |    1744 |
| A-1000591      | Round Hill  |     589 |
| A-1000592      | Brighton    |    8159 |
| A-1000593      | Downtown    |    5526 |
| A-1000594      | Perryridge  |    8325 |
| A-1000595      | Redwood     |    7281 |
| A-1000596      | Perryridge  |    4889 |
| A-1000597      | North Town  |    5678 |
| A-1000598      | Pownal      |    9676 |
| A-1000599      | Round Hill  |    4980 |
| A-1000600      | Redwood     |    9113 |
| A-1000601      | Downtown    |    6553 |
| A-1000602      | Perryridge  |    9490 |
| A-1000603      | Round Hill  |     963 |
| A-1000604      | Perryridge  |    1833 |
| A-1000605      | Mianus      |    8218 |
| A-1000606      | North Town  |    4617 |
| A-1000607      | Mianus      |    6094 |
| A-1000608      | Round Hill  |     349 |
| A-1000609      | Pownal      |    7536 |
| A-1000610      | Round Hill  |    8004 |
| A-1000611      | Mianus      |    8483 |
| A-1000612      | Downtown    |    1866 |
| A-1000613      | Perryridge  |    5193 |
| A-1000614      | Redwood     |    3970 |
| A-1000615      | Round Hill  |    3659 |
| A-1000616      | Mianus      |    5820 |
| A-1000617      | Downtown    |    2174 |
| A-1000618      | Perryridge  |    8703 |
| A-1000619      | Mianus      |    8948 |
| A-1000620      | Brighton    |    8747 |
| A-1000621      | Brighton    |    7579 |
| A-1000622      | Pownal      |    6321 |
| A-1000623      | Downtown    |    2727 |
| A-1000624      | North Town  |    3987 |
| A-1000625      | Mianus      |    6671 |
| A-1000626      | Perryridge  |     277 |
| A-1000627      | Round Hill  |    9934 |
| A-1000628      | North Town  |     162 |
| A-1000629      | North Town  |    5963 |
| A-1000630      | North Town  |    1643 |
| A-1000631      | Mianus      |    2036 |
| A-1000632      | Pownal      |    3949 |
| A-1000633      | Round Hill  |    3908 |
| A-1000634      | Pownal      |    3398 |
| A-1000635      | Perryridge  |    6468 |
| A-1000636      | Round Hill  |    8714 |
| A-1000637      | Downtown    |    8086 |
| A-1000638      | Mianus      |    5284 |
| A-1000639      | Pownal      |    4125 |
| A-1000640      | Perryridge  |    1749 |
| A-1000641      | Mianus      |    7993 |
| A-1000642      | Downtown    |     521 |
| A-1000643      | Brighton    |    9728 |
| A-1000644      | Mianus      |    2476 |
| A-1000645      | Perryridge  |    5184 |
| A-1000646      | Perryridge  |    4803 |
| A-1000647      | Redwood     |    7726 |
| A-1000648      | Redwood     |    7405 |
| A-1000649      | Mianus      |    5684 |
| A-1000650      | Downtown    |    9073 |
| A-1000651      | Mianus      |    8325 |
| A-1000652      | Redwood     |    4793 |
| A-1000653      | Brighton    |    3527 |
| A-1000654      | Pownal      |    9687 |
| A-1000655      | Pownal      |    8090 |
| A-1000656      | Perryridge  |    8793 |
| A-1000657      | Perryridge  |    1310 |
| A-1000658      | Perryridge  |    5786 |
| A-1000659      | North Town  |     444 |
| A-1000660      | Brighton    |    6668 |
| A-1000661      | Round Hill  |    5107 |
| A-1000662      | Perryridge  |    7003 |
| A-1000663      | Perryridge  |    2737 |
| A-1000664      | Pownal      |    2946 |
| A-1000665      | Redwood     |    3443 |
| A-1000666      | Downtown    |    6623 |
| A-1000667      | Mianus      |    4315 |
| A-1000668      | Redwood     |    8154 |
| A-1000669      | Round Hill  |    1730 |
| A-1000670      | North Town  |     620 |
| A-1000671      | Downtown    |    6418 |
| A-1000672      | Brighton    |    4688 |
| A-1000673      | Round Hill  |    7295 |
| A-1000674      | North Town  |     162 |
| A-1000675      | Brighton    |    9806 |
| A-1000676      | Round Hill  |    3298 |
| A-1000677      | Brighton    |    4342 |
| A-1000678      | Pownal      |    2249 |
| A-1000679      | Mianus      |    3148 |
| A-1000680      | Perryridge  |    3396 |
| A-1000681      | Pownal      |    6164 |
| A-1000682      | Brighton    |    9215 |
| A-1000683      | North Town  |    7592 |
| A-1000684      | Downtown    |    8534 |
| A-1000685      | Perryridge  |    1125 |
| A-1000686      | Round Hill  |    3867 |
| A-1000687      | Redwood     |    2036 |
| A-1000688      | Redwood     |    1904 |
| A-1000689      | North Town  |    2522 |
| A-1000690      | North Town  |    1613 |
| A-1000691      | Perryridge  |     596 |
| A-1000692      | North Town  |    1587 |
| A-1000693      | North Town  |    6940 |
